matrix_representation	omitted_feature_family	reference_principal_component	reference_component_number	matched_reduced_principal_component	matched_reduced_component_number	retained_features	absolute_loading_correlation	sign_aligned_score_correlation	reference_explained_variance_ratio	reduced_explained_variance_ratio	absolute_variance_ratio_difference
raw_log2_change	binding_antibody_abundance	PC1	1	PC1	1	60	0.9982470647570306	0.9902750242724682	0.2145390438362991	0.249393578679631	0.0348545348433319
raw_log2_change	binding_antibody_abundance	PC2	2	PC2	2	60	0.9328789340273684	0.8910340143129969	0.0982625087049002	0.0939996786326251	0.004262830072275
raw_log2_change	binding_antibody_abundance	PC3	3	PC3	3	60	0.9411328131507878	0.8892276717476896	0.063968207595044	0.0875686824644605	0.0236004748694165
raw_log2_change	binding_antibody_abundance	PC4	4	PC4	4	60	0.745386990249342	0.5846878264516424	0.045535620129121	0.0526810940827586	0.0071454739536375
raw_log2_change	binding_antibody_abundance	PC5	5	PC5	5	60	0.6982638685401811	0.5973409950609117	0.0362741812818357	0.0473701126782238	0.0110959313963881
raw_log2_change	fc_receptor_communication	PC1	1	PC1	1	68	0.9956498183515058	0.9655909277315864	0.2145390438362991	0.2046893759730678	0.0098496678632313
raw_log2_change	fc_receptor_communication	PC2	2	PC2	2	68	0.997327426010076	0.9785661780487332	0.0982625087049002	0.1158563230305147	0.0175938143256145
raw_log2_change	fc_receptor_communication	PC3	3	PC5	5	68	0.0448451418765819	-0.0484135143487977	0.063968207595044	0.0445360919068128	0.0194321156882312
raw_log2_change	fc_receptor_communication	PC4	4	PC3	3	68	0.9842399399214892	0.955873878099027	0.045535620129121	0.0600134274360588	0.0144778073069377
raw_log2_change	fc_receptor_communication	PC5	5	PC4	4	68	0.9361953313749805	0.8456322070401305	0.0362741812818357	0.0468732338538585	0.0105990525720228
raw_log2_change	igg_subclass_architecture	PC1	1	PC1	1	60	0.990125927749189	0.95913848716222	0.2145390438362991	0.2156331090952951	0.001094065258996
raw_log2_change	igg_subclass_architecture	PC2	2	PC2	2	60	0.9854721148486514	0.9693181509725328	0.0982625087049002	0.1160157185470646	0.0177532098421644
raw_log2_change	igg_subclass_architecture	PC3	3	PC3	3	60	0.9365502703546827	0.8929812087323581	0.063968207595044	0.079164276992306	0.015196069397262
raw_log2_change	igg_subclass_architecture	PC4	4	PC4	4	60	0.9230104932115912	0.8072704446458944	0.045535620129121	0.0573195670097273	0.0117839468806062
